kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
srad_v1-rodinia-3.6.sm_70.ptx 155 : 230912 1578144 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 154 : 230912 1492512 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 153 : 230912 1317184 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 150 : 230366 1026776 0 7200 7200 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 149 : 230366 2154996 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 562 : 14368 136380 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 61 : 230400 1713280 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 140 : 230366 86035730 32 0 0 29190 7200 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 559 : 14368 181502 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 58 : 229916 1380528 0 0 0 28740 7185 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 395 : 6144 36864 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 137 : 230366 1896850 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 558 : 14368 118214 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 57 : 229916 1720488 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 394 : 6144 37376 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 136 : 230366 3443874 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 557 : 14368 115334 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 56 : 229916 1621000 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 393 : 6144 978496 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 55 : 229916 1684968 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 392 : 6144 38880 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 134 : 230912 3466 0 0 0 0 0 0 2 
srad_v1-rodinia-3.6.sm_70.ptx 555 : 229888 1586190 0 0 0 0 0 0 7184 
srad_v1-rodinia-3.6.sm_70.ptx 54 : 229916 1922888 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 133 : 230912 1614560 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 554 : 229888 1805600 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 53 : 229916 2260636 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 132 : 230912 3323968 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 553 : 229888 1766528 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 52 : 229916 27292428 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 389 : 1024 7680 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 131 : 230912 1462016 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 552 : 229888 1777728 0 0 0 0 0 0 0 
srad_v1-rodinia-3.6.sm_70.ptx 51 : 229916 2458204 0 0 0 0 0 0 0 
